date,env_enc_0,env_enc_1,env_enc_2,env_enc_3
1928-10-29,2.796304,-7.897499,5.159808,-0.024868963
1928-10-30,3.8511686,-7.1341066,3.852499,-1.8849094
1928-10-31,2.6388178,-5.0965443,2.6708477,-1.2700241
1928-11-01,2.6341424,-7.272024,4.6734834,-0.11439474
1928-11-02,2.4400256,-4.8301015,2.5411339,-1.1263591
1928-11-03,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-11-04,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-11-05,2.5453467,-6.922965,4.401417,-0.16772893
1928-11-06,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-11-07,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-11-08,2.1787872,-5.218051,3.0467653,-0.5235809
1928-11-09,2.1901984,-5.2976108,3.112504,-0.4991725
1928-11-10,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-11-11,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-11-12,2.5175872,-6.813001,4.315571,-0.1851747
1928-11-13,2.1661983,-4.731739,2.6106553,-0.7691443
1928-11-14,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-11-15,2.153908,-4.962098,2.8289776,-0.6217134
1928-11-16,2.6732192,-7.4248877,4.792453,-0.09190568
1928-11-17,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-11-18,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-11-19,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-11-20,2.2446945,-5.6131754,3.366936,-0.41484424
1928-11-21,4.673315,-8.641693,4.7562766,-2.2518244
1928-11-22,2.5222793,-6.8315973,4.3300743,-0.18223065
1928-11-23,2.2069616,-5.404424,3.199615,-0.4684231
1928-11-24,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-11-25,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-11-26,2.1529646,-4.8327413,2.71145,-0.6903058
1928-11-27,2.1518729,-4.8796334,2.7547288,-0.66296005
1928-11-28,2.4312267,-6.4630623,4.04203,-0.2430086
1928-11-29,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-11-30,2.156746,-4.7829323,2.663906,-0.7242707
1928-12-01,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-12-02,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-12-03,5.3129025,-9.822849,5.471388,-2.5258799
1928-12-04,2.1790652,-4.7010574,2.5743315,-0.80696094
1928-12-05,2.7031307,-5.191495,2.7219067,-1.3107178
1928-12-06,10.130089,-18.828093,10.977451,-4.500392
1928-12-07,6.782051,-12.558523,7.135743,-3.1392581
1928-12-08,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-12-09,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-12-10,2.4791641,-4.8787622,2.5622628,-1.1586092
1928-12-11,3.09206,-8.988537,6.0074806,0.12238069
1928-12-12,3.6093469,-6.7023516,3.596146,-1.7738798
1928-12-13,2.4361236,-4.8254404,2.5392065,-1.12307
1928-12-14,2.1881998,-4.6886573,2.5577435,-0.8275643
1928-12-15,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-12-16,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-12-17,2.678816,-5.1552324,2.7023115,-1.2955426
1928-12-18,2.4223828,-6.4264293,4.0132155,-0.24935396
1928-12-19,2.477068,-6.6504745,4.188799,-0.21132123
1928-12-20,2.1550617,-4.801379,2.6818545,-0.7109437
1928-12-21,2.400354,-6.334341,3.9405599,-0.2656406
1928-12-22,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-12-23,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-12-24,2.2661529,-5.7215843,3.4535716,-0.38926995
1928-12-25,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-12-26,2.7118137,-5.2044635,2.7289634,-1.316036
1928-12-27,2.2435203,-5.6070547,3.3620262,-0.4163308
